[13:45:56] [info] RPG2D: Hello
[13:45:56] [warning] APP: client hello
[13:45:56] [warning] APP: www
[13:45:56] [info] RPG2D: Creating window RPG2D Engine (1600, 900)
[13:45:58] [info] RPG2D: contact begin
[13:45:58] [info] RPG2D: contact begin
[13:45:58] [info] RPG2D: contact begin
[13:46:00] [info] RPG2D: contact begin
[13:46:01] [info] RPG2D: contact end
[13:46:02] [info] RPG2D: contact begin
[13:46:03] [info] RPG2D: contact begin
[13:46:03] [info] RPG2D: Bullet:contact Player
[13:46:03] [info] RPG2D: contact begin
[13:46:03] [info] RPG2D: Bullet:contact Player
[13:46:03] [info] RPG2D: contact end
[13:46:03] [info] RPG2D: contact begin
[13:46:03] [info] APP: dead
[13:46:03] [info] RPG2D: Bullet:contact Enemy
[13:46:03] [info] RPG2D: contact end
[13:46:03] [info] RPG2D: contact end
[13:46:03] [info] RPG2D: contact end
[13:46:03] [info] RPG2D: contact end
[13:46:03] [info] RPG2D: contact begin
[13:46:03] [info] APP: dead
[13:46:03] [info] RPG2D: Bullet:contact Enemy
[13:46:03] [info] RPG2D: contact end
[13:46:03] [info] RPG2D: contact end
[13:46:03] [info] RPG2D: contact begin
[13:46:03] [info] RPG2D: Bullet:contact Player
[13:46:03] [info] RPG2D: contact end
[13:46:03] [info] RPG2D: contact begin
[13:46:03] [info] RPG2D: Bullet:contact Ground
[13:46:03] [info] RPG2D: contact begin
[13:46:03] [info] RPG2D: Bullet:contact Ground
[13:46:04] [info] RPG2D: contact end
[13:46:04] [info] RPG2D: contact end
[13:46:04] [info] RPG2D: contact begin
[13:46:04] [info] RPG2D: Bullet:contact Player
[13:46:04] [info] RPG2D: contact end
[13:46:04] [info] RPG2D: contact begin
[13:46:04] [info] RPG2D: Bullet:contact Ground
[13:46:04] [info] RPG2D: contact end
[13:46:04] [info] RPG2D: contact begin
[13:46:04] [info] RPG2D: Bullet:contact Player
[13:46:04] [info] RPG2D: contact end
[13:46:04] [info] RPG2D: contact begin
[13:46:04] [info] RPG2D: Bullet:contact Ground
[13:46:04] [info] RPG2D: contact end
[13:46:05] [info] RPG2D: contact begin
[13:46:05] [info] RPG2D: Bullet:contact Ground
[13:46:05] [info] RPG2D: contact end
[13:46:05] [info] RPG2D: contact begin
[13:46:05] [info] RPG2D: Bullet:contact Player
[13:46:05] [info] RPG2D: contact end
[13:46:05] [info] RPG2D: contact begin
[13:46:05] [info] RPG2D: Bullet:contact Player
[13:46:05] [info] RPG2D: contact end
[13:46:06] [info] RPG2D: contact begin
[13:46:06] [info] RPG2D: Bullet:contact Ground
[13:46:06] [info] RPG2D: contact begin
[13:46:06] [info] RPG2D: Bullet:contact Player
[13:46:06] [info] RPG2D: contact end
[13:46:06] [info] RPG2D: contact end
[13:46:06] [info] RPG2D: contact begin
[13:46:06] [info] RPG2D: Bullet:contact Ground
[13:46:06] [info] RPG2D: contact end
[13:46:06] [info] RPG2D: contact begin
[13:46:06] [info] RPG2D: Bullet:contact Ground
[13:46:07] [info] RPG2D: contact end
[13:46:19] [warning] APP: www1111111222
